venue,capacity,address
万博記念競技場,21000,大阪府吹田市千里万博公園5-2
山梨県小瀬スポーツ公園陸上競技場,15859,山梨県甲府市小瀬町840
味の素スタジアム,48999,東京都調布市西町376-3
静岡スタジアムエコパ,51697,静岡県袋井市愛野2300−1
名古屋市瑞穂陸上競技場,20223,愛知県名古屋市瑞穂区山下通5-1
埼玉スタジアム2002,62010,埼玉県さいたま市緑区美園2丁目1
等々力陸上競技場,26827,神奈川県川崎市中原区等々力1-1
広島ビッグアーチ,36894,広島県広島市安佐南区大塚西5丁目1−1
日産スタジアム,72081,神奈川県横浜市港北区小机町3300
フクダ電子アリーナ,19470,千葉県千葉市中央区川崎町1-20
新潟スタジアム,41684,新潟県新潟市中央区清五郎67-12
日本平スタジアム,20248,静岡県静岡市清水区村松3880−1
県立カシマサッカースタジアム,37496,茨城県鹿嶋市神向寺後山26-2
京都市西京極総合運動公園陸上競技場兼球技場,20588,京都府京都市右京区西京極新明町29
東平尾公園博多の森球技場,22331,福岡県福岡市博多区東平尾公園2丁目1−2
九州石油ドーム,31997,大分県大分市横尾1351
大阪長居スタジアム,47853,大阪府大阪市東住吉区長居公園1-1
ヤマハスタジアム(磐田),15165,静岡県磐田市新貝2500
豊田スタジアム,41255,愛知県豊田市千石町7-2
さいたま市浦和駒場スタジアム,21500,埼玉県さいたま市浦和区駒場2丁目1−1
松本平広域公園総合球技場,20336,長野県松本市神林5300
石川県西部緑地公園陸上競技場,20261,石川県金沢市袋畠町南136
熊谷スポーツ文化公園陸上競技場,15002,埼玉県熊谷市上川上300 熊谷ｽﾎﾟｰﾂ文化公園内
国立競技場,54224,東京都新宿区霞ヶ丘町10
横浜市三ツ沢公園球技場,15440,神奈川県横浜市神奈川区三ﾂ沢西町3-1
大阪長居第2陸上競技場,15516,大阪府大阪市東住吉区長居公園1−1
熊本県民総合運動公園陸上競技場,30684,熊本県熊本市東区平山町2776 2776番地
日立柏サッカー場,15109,千葉県柏市日立台1-2-50
東北電力ビッグスワンスタジアム,41684,新潟県新潟市中央区清五郎67-12
ホームズスタジアム神戸,28425,兵庫県神戸市兵庫区御崎町1丁目2−2
柏の葉公園総合競技場,20000,千葉県柏市柏の葉4丁目1
エコパスタジアム,51697,静岡県袋井市愛野2300-1
神戸総合運動公園ユニバー記念競技場,35910,兵庫県神戸市須磨区緑台
名古屋市瑞穂球技場,20223,愛知県名古屋市瑞穂区山下通5丁目1
NACK5スタジアム大宮,15491,埼玉県さいたま市大宮区高鼻町2丁目320−52
札幌ドーム,39856,北海道札幌市豊平区羊ヶ丘1
ニッパツ三ツ沢球技場,15440,神奈川県横浜市神奈川区三ﾂ沢西町3-1
鹿児島県立鴨池陸上競技場,12584,鹿児島県鹿児島市与次郎2丁目2−2
札幌厚別公園競技場,19620,北海道札幌市厚別区上野幌3条1-2-1
アウトソーシングスタジアム日本平,20248,静岡県静岡市清水区村松3880−1
NDソフトスタジアム山形,20784,山形県天童市山王1−1
平塚競技場,15732,神奈川県平塚市大原1−1
ユアテックスタジアム仙台,19694,宮城県仙台市泉区七北田字柳78
宮城スタジアム,49133,宮城県宮城郡利府町菅谷字舘40-1
キンチョウスタジアム,17892,大阪府大阪市東住吉区長居公園1-1
山梨中銀スタジアム,15859,山梨県甲府市小瀬町840
レベルファイブスタジアム,22331,福岡県福岡市博多区東平尾公園2-1-1
コカ・コーラウエスト広島スタジアム,13800,広島県広島市西区観音新町2丁目11−124
ベストアメニティスタジアム,24130,佐賀県鳥栖市京町812
佐賀県総合運動場陸上競技場,17000,佐賀県佐賀市日の出2-1-10
エディオンスタジアム広島,36894,広島県広島市安佐南区大塚西5-1-1
大分銀行ドーム,31997,大分県大分市大字横尾1351
IAIスタジアム日本平,20248,静岡県静岡市清水区村松3880−1
ShonanBMWスタジアム平塚,15732,神奈川県平塚市大原1−1
ヤンマースタジアム長居,47853,大阪府大阪市東住吉区長居公園1-1
デンカビッグスワンスタジアム,41684,新潟県新潟市中央区清五郎67-12
鳴門・大塚スポーツパークポカリスエットスタジアム,17924,徳島県鳴門市撫養町立岩四枚61
ノエビアスタジアム神戸,28425,兵庫県神戸市兵庫区御崎町1-2-2
パロマ瑞穂スタジアム,20223,愛知県名古屋市瑞穂区山下通5丁目1
市立吹田サッカースタジアム,39694,大阪府吹田市千里万博公園3−3
パナソニックスタジアム吹田,39694,大阪府吹田市千里万博公園3−3
三協フロンテア柏スタジアム,15109,千葉県柏市日立台1丁目2−50
トランスコスモススタジアム長崎,20258,長崎県諫早市宇都町27−1
