Target Rank,Target Score,miRNA Name,Gene Symbol,Gene Description
1,97,mmu-miR-344e-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
2,97,mmu-miR-410-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
3,97,mmu-miR-344d-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
4,95,mmu-let-7g-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
5,93,mmu-miR-6983-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
6,93,mmu-miR-7025-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
7,92,mmu-miR-144-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
8,91,mmu-miR-543-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
9,88,mmu-miR-6975-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
10,86,mmu-miR-6373,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
11,85,mmu-miR-153-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
12,85,mmu-miR-186-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
13,84,mmu-miR-337-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
14,84,mmu-let-7a-2-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
15,82,mmu-miR-6418-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
16,79,mmu-miR-297c-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
17,79,mmu-miR-297a-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
18,79,mmu-miR-669d-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
19,79,mmu-miR-466a-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
20,79,mmu-miR-466d-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
21,79,mmu-miR-297b-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
22,79,mmu-miR-466e-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
23,79,mmu-miR-467g,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
24,78,mmu-miR-505-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
25,78,mmu-miR-3544-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
26,78,mmu-miR-19a-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
27,77,mmu-miR-7210-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
28,76,mmu-miR-6896-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
29,76,mmu-miR-6903-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
30,76,mmu-miR-7664-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
31,75,mmu-miR-350-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
32,75,mmu-miR-291b-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
33,75,mmu-miR-153-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
34,74,mmu-miR-488-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
35,73,mmu-miR-6399,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
36,73,mmu-miR-1929-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
37,71,mmu-miR-6970-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
38,71,mmu-miR-7072-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
39,71,mmu-miR-664-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
40,71,mmu-miR-6414,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
41,71,mmu-miR-6919-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
42,68,mmu-miR-493-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
43,66,mmu-miR-7221-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
44,65,mmu-miR-6383,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
45,65,mmu-miR-106b-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
46,65,mmu-miR-20a-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
47,64,mmu-miR-7094-1-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
48,63,mmu-miR-6516-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
49,63,mmu-miR-7646-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
50,62,mmu-miR-466f-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
51,61,mmu-miR-200c-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
52,61,mmu-miR-17-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
53,61,mmu-miR-150-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
54,61,mmu-miR-5127,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
55,61,mmu-miR-20b-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
56,61,mmu-miR-93-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
57,61,mmu-miR-106a-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
58,60,mmu-miR-484,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
59,60,mmu-miR-323-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
60,56,mmu-miR-1191a,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
61,55,mmu-miR-335-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
62,54,mmu-miR-124-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
63,53,mmu-miR-5624-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
64,52,mmu-miR-32-3p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
65,51,mmu-miR-5104b-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
66,50,mmu-miR-1956,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
67,50,mmu-miR-501-5p,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11"
